,features,spliced_features,unspliced_features,gene_count_corr,fit_r2,fit_alpha,fit_beta,fit_gamma,fit_t_,fit_scaling,fit_std_u,fit_std_s,fit_likelihood,fit_u0,fit_s0,fit_pval_steady,fit_steady_u,fit_steady_s,fit_variance,fit_alignment_scaling,velocity_genes,spearmans_score,velocity_score
NUP107,NUP107,NUP107,NUP107,0.1071,0.02379065752029419,0.1054817524656099,0.8149912073084126,0.168245251420633,10.459631777608678,0.3988883279263973,0.042515236884355545,0.13056577742099762,0.23066599285995576,0.0,0.0,0.2609569945843378,0.1296644066442034,0.39020161507330064,1.0382291334002027,3.5797726225340813,True,0.2480137433499773,0
SLC35E3,SLC35E3,SLC35E3,SLC35E3,-0.0022,-0.012355923652648926,,,,,,,,,,,,,,,,False,0.10075497504817778,0
MDM2,MDM2,MDM2,MDM2,-0.0492,0.12869209051132202,0.288845290394319,0.920128324880342,0.22734169384293854,11.847336444010985,0.3848751296103001,0.09223148971796036,0.2767842411994934,0.17818653449640434,0.0,0.0,0.4595054324333834,0.3539645324987082,1.0131441543906414,1.6443926816281433,3.1061643929917153,True,0.3644556696097551,0
ENSGALG00000009959.6,ENSGALG00000009959.6,ENSGALG00000009959.6,ENSGALG00000009959.6,0.0412,0.4898054003715515,0.7410793332642269,1.6425597880908627,0.642527437747205,12.14679547292208,0.1804054266214371,0.09948025643825531,0.26054883003234863,0.27077624271244305,0.0,0.0,0.46443338591409794,0.3464388539671718,0.7093340709387999,0.6684590011538836,1.5185941767312479,True,0.446761882574657,15
CPSF6,CPSF6,CPSF6,CPSF6,0.0243,-0.7443238496780396,,,,,,,,,,,,,,,,False,0.0,0
FRS2,FRS2,FRS2,FRS2,-0.0169,-1.3462340831756592,,,,,,,,,,,,,,,,False,0.07380093797995249,0
CCT2,CCT2,CCT2,CCT2,0.0791,-0.055800795555114746,,,,,,,,,,,,,,,,False,0.0,0
CNOT2,CNOT2,CNOT2,CNOT2,0.0054,-0.7593264579772949,,,,,,,,,,,,,,,,False,0.19963763649802838,0
LGR5,LGR5,LGR5,LGR5,0.0992,0.7608317881822586,0.08824903517534656,0.026824057088747195,0.3324714428903765,8.018722828577681,18.373838524818424,1.1964811086654663,0.07179340720176697,0.2451108406890345,0.0,0.0,0.39486585842616634,3.1698666029695097,0.19221473514134513,0.675121880902703,2.1250925235723725,False,0.6261438135906005,0
RAB21,RAB21,RAB21,RAB21,-0.0049,-0.10452663898468018,,,,,,,,,,,,,,,,False,0.02877914426924879,0
TBC1D15,TBC1D15,TBC1D15,TBC1D15,-0.0386,-0.3025398254394531,,,,,,,,,,,,,,,,False,0.19200402314921045,0
TRHDE,TRHDE,TRHDE,TRHDE,-0.0049,0.846664309501648,0.6200607269636468,0.035068124709441095,0.5717460770933303,5.162219438586465,10.157446832656861,4.1954240798950195,0.19516104459762573,0.22993268150371177,0.0,0.0,0.4674742125066887,12.350883943592926,0.609257584887332,0.8097972303914137,1.2633259401117565,False,0.8340139027012716,0
KCNC2,KCNC2,KCNC2,KCNC2,0.0508,0.006491243839263916,,,,,,,,,,,,,,,,False,0.37292215573094456,0
CAPS2,CAPS2,CAPS2,CAPS2,0.0276,-0.7994414567947388,,,,,,,,,,,,,,,,False,0.2790910483116521,0
